支付转化率,访客数,交易金额,付款人数
2.44,450,2136,11
1.76,511,1983,9
2.17,552,1922,12
3.01,532,12313,16
2.3,478,7569,11
2.44,533,12127,13
3.28,396,2625,13
2.7,445,16216,12
3.04,362,2251,11
2.04,490,1805,10
2.43,535,2223,13
2.14,514,1979,11
2.49,521,2327,13
2.3,478,1942,11
4.84,289,10226,14
3.17,347,30817,11
3.4,412,29674,14
2.49,481,20901,12
3.46,433,71688,15
3.07,489,14169,15
2.42,455,2137,11
2.66,526,2247,14
2.41,457,2412,11
2.71,516,10608,14
2.27,529,1758,12
3.34,329,2559,11
3.88,232,2125,9
2.79,358,2571,10
3.64,357,2763,13
2.25,534,2310,12
